GFSA.SCS03G04708,2013.06,-36,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,
GFSA.SCS02G05Z629999,2010.06,120794,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Total,,
GFSA.SCS03G03703,2012.06,4421,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Operating Expenses",Public order and safety,,,
GFSA.SCS01G02991,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,
GFSA.SCS01G01Z90,2010.06,-3564,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,
GFSA.SCS02G093014,2017.06,3168,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Liabilities",Loans,,,
GFSA.SCS05G06Z616114O,2018.06,-7,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Other economic flows
GFSA.SCS03G03700,2016.06,83383,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Operating Expenses",Total,,,
GFSA.SCS01G02982,2018.06,2004,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,
GFSA.SCS01G04615,2012.06,-28,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Acquisition of Non-financial Assets",Land,,,
GFSA.SCS05G06Z616114D,2017.06,24,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Disposals
GFSA.SCS04G111136,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Other recurrent taxes on property,,
GFSA.SCS04G111135,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Other non-recurrent taxes on property,,
GFSA.SCS05G06Z616112A,2016.06,917,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,Additions
GFSA.SCS02G06Z616112,2010.06,3689,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,
GFSA.SCS05G06Z616113O,2017.06,66,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Other economic flows
GFSA.SCS05G06Z616114O,2014.06,-200,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Other economic flows
GFSA.SCS03G00Z00703,2019.06,6029,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Public order and safety,,
GFSA.SCS02G08Z61613,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Valuables",Non-financial assets,Valuables,,
GFSA.SCS05G08Z61613Z,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Total,
GFSA.SCS04G111133,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,"Estate, inheritence, and gift taxes",,
GFSA.SCS04G121142,2014.06,2100,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Goods and Services",Taxes on goods and services,Excises,,
GFSA.SCS01G03991,2009.06,521,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Capital grants,,,
GFSA.SCS01G03220,2014.06,9139,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,
GFSA.SCS01G02982,2009.06,1696,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,
GFSA.SCS04G101110,2010.06,33659,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Income, Profits and Capital Gains","Taxes on income, profits, and capital gains",Total,,
GFSA.SCS03G04701,2018.06,171,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,
GFSA.SCS02G05Z623015,2019.06,46114,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,
GFSA.SCS01G04698,2018.06,-47,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Acquisition of Non-financial Assets",Other non-produced non-financial assets,,,
GFSA.SCS02G05Z623012,2014.06,14795,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Cash,,
GFSA.SCS03G00Z00705,2009.06,591,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Environmental protection,,
GFSA.SCS05G08Z61613O,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Other economic flows,
GFSA.SCS04G121140,2013.06,21939,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Goods and Services",Taxes on goods and services,Total,,
GFSA.SCS05G08Z61613A,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Additions,
GFSA.SCS05G06Z616114K,2013.06,253,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Depreciation
GFSA.SCS03G03702,2018.06,1923,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Operating Expenses",Defence,,,
GFSA.SCS02G093021,2017.06,1877,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Liabilities",Insurance liabilities,,,
GFSA.SCS03G03708,2010.06,890,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Operating Expenses","Recreation, culture, and religion",,,
GFSA.SCS02G07Z616141,2012.06,21826,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,
GFSA.SCS02G05Z623014,2014.06,19434,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Loans,,
GFSA.SCS05G08Z61613K,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Depreciation,
GFSA.SCS01G02998,2009.06,57681,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Taxation revenue,,,
GFSA.SCS01G04698,2009.06,-4,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Acquisition of Non-financial Assets",Other non-produced non-financial assets,,,
GFSA.SCS05G06Z616113K,2009.06,1098,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Depreciation
GFSA.SCS02G05Z623013,2019.06,23789,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Debt securities,,
GFSA.SCS05G00Z61699A,2010.06,6256,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Total excl Inventories",Non-financial assets,Non-financial assets excluding inventories,Additions,
GFSA.SCS05G07Z616141K,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Land,Depreciation
GFSA.SCS02G00Z63Z99,2013.06,214026,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,
GFSA.SCS05G07Z616144A,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Intangible non-produced assets,Additions
GFSA.SCS05G06Z616113D,2011.06,259,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Disposals
GFSA.SCS03G00Z00703,2013.06,4604,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Public order and safety,,
GFSA.SCS05G08Z61613K,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Depreciation,
GFSA.SCS05G06Z616111D,2011.06,209,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,Disposals
GFSA.SCS04G131155,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Exchange taxes,,
GFSA.SCS03G04703,2018.06,47,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,
GFSA.SCS05G07Z616141K,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Land,Depreciation
GFSA.SCS04G131151,2016.06,2442,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Customs and other import duties,,
GFSA.SCS05G07Z616144D,2016.06,37,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Intangible non-produced assets,Disposals
GFSA.SCS02G093014,2013.06,1753,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Liabilities",Loans,,,
GFSA.SCS02G01Z97,2010.06,26997,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Net Balances and Memorandum Items",ACC outstanding claims liability,,,
